11435	GO:0003009,GO:0004888,GO:0005216,GO:0005230,GO:0005231,GO:0005515,GO:0005886,GO:0005892,GO:0006811,GO:0006812,GO:0007271,GO:0007274,GO:0007528,GO:0009986,GO:0015464,GO:0016020,GO:0019228,GO:0022848,GO:0031594,GO:0034220,GO:0035094,GO:0042166,GO:0042391,GO:0043005,GO:0045202,GO:0045211,GO:0046716,GO:0048630,GO:0050881,GO:0050905,GO:0051899,GO:0060078,GO:0060079,GO:0070050,GO:0095500,GO:0098793,GO:0099171,GO:0099634,GO:1904315
11438	GO:0001666,GO:0004888,GO:0005216,GO:0005230,GO:0005515,GO:0005886,GO:0005892,GO:0006281,GO:0006811,GO:0006816,GO:0006979,GO:0007165,GO:0007271,GO:0007274,GO:0007585,GO:0007626,GO:0009897,GO:0014059,GO:0015464,GO:0016020,GO:0019228,GO:0019233,GO:0022848,GO:0030425,GO:0032991,GO:0034220,GO:0034703,GO:0035094,GO:0035095,GO:0035640,GO:0042113,GO:0042166,GO:0042391,GO:0042734,GO:0043005,GO:0043025,GO:0044877,GO:0045202,GO:0045211,GO:0046872,GO:0050877,GO:0050890,GO:0050997,GO:0051649,GO:0051899,GO:0060079,GO:0060080,GO:0095500,GO:0097060,GO:0098691,GO:0098878,GO:0098981,GO:0099171,GO:0099634,GO:0140658,GO:1901363,GO:1904315,GO:1905144
11440	GO:0004888,GO:0005216,GO:0005230,GO:0005515,GO:0005886,GO:0005892,GO:0006811,GO:0007271,GO:0007274,GO:0014059,GO:0015464,GO:0016020,GO:0022848,GO:0032991,GO:0034220,GO:0034703,GO:0035094,GO:0035095,GO:0042734,GO:0043005,GO:0045202,GO:0045211,GO:0051649,GO:0051899,GO:0051952,GO:0060078,GO:0060079,GO:0095500,GO:0097060,GO:0098691,GO:0098878,GO:0099171,GO:1901363
11441	GO:0001540,GO:0001988,GO:0004888,GO:0005216,GO:0005230,GO:0005515,GO:0005886,GO:0005892,GO:0006811,GO:0006816,GO:0006897,GO:0007268,GO:0007271,GO:0007611,GO:0007613,GO:0008179,GO:0008306,GO:0009409,GO:0009897,GO:0010628,GO:0014061,GO:0015464,GO:0015643,GO:0016020,GO:0016324,GO:0017081,GO:0019228,GO:0019901,GO:0022848,GO:0030317,GO:0030424,GO:0030425,GO:0030426,GO:0030673,GO:0032094,GO:0032225,GO:0032279,GO:0032691,GO:0032715,GO:0032720,GO:0034220,GO:0034703,GO:0035094,GO:0035095,GO:0042110,GO:0042113,GO:0042166,GO:0042391,GO:0042698,GO:0042734,GO:0042803,GO:0043005,GO:0043025,GO:0043124,GO:0043197,GO:0043198,GO:0044853,GO:0045202,GO:0045211,GO:0045471,GO:0046872,GO:0048149,GO:0050727,GO:0050728,GO:0050804,GO:0050808,GO:0050893,GO:0051117,GO:0051247,GO:0051649,GO:0051823,GO:0060078,GO:0060079,GO:0060084,GO:0060112,GO:0070373,GO:0070374,GO:0095500,GO:0097061,GO:0097110,GO:0098690,GO:0098793,GO:0098815,GO:0098878,GO:0098897,GO:0098981,GO:0099171,GO:0099634,GO:0140059,GO:1900016,GO:1900273,GO:1902004,GO:1902532,GO:1904315,GO:1904645,GO:1905144,GO:1905906,GO:1990806,GO:2000463,GO:2001023
11443	GO:0001941,GO:0003009,GO:0004888,GO:0005216,GO:0005230,GO:0005515,GO:0005886,GO:0005892,GO:0006811,GO:0006812,GO:0006936,GO:0007165,GO:0007271,GO:0007274,GO:0015267,GO:0015276,GO:0015464,GO:0016020,GO:0022848,GO:0031594,GO:0034220,GO:0035095,GO:0042166,GO:0042391,GO:0043005,GO:0045202,GO:0045211,GO:0050877,GO:0051899,GO:0055001,GO:0060078,GO:0060079,GO:0095500,GO:0099634,GO:1904315
11444	GO:0001661,GO:0001666,GO:0004888,GO:0005216,GO:0005230,GO:0005515,GO:0005886,GO:0005892,GO:0006811,GO:0006816,GO:0006939,GO:0007165,GO:0007268,GO:0007271,GO:0007601,GO:0007605,GO:0007612,GO:0007613,GO:0007626,GO:0008306,GO:0008542,GO:0009897,GO:0014059,GO:0015464,GO:0016020,GO:0019228,GO:0019233,GO:0021562,GO:0021631,GO:0021771,GO:0021952,GO:0021955,GO:0022848,GO:0030890,GO:0032225,GO:0032226,GO:0032991,GO:0033603,GO:0034220,GO:0034703,GO:0035094,GO:0035095,GO:0035176,GO:0042053,GO:0042113,GO:0042166,GO:0042220,GO:0042320,GO:0042391,GO:0042734,GO:0043005,GO:0044853,GO:0044877,GO:0045188,GO:0045202,GO:0045211,GO:0045471,GO:0048814,GO:0050877,GO:0050890,GO:0050997,GO:0051649,GO:0051899,GO:0051963,GO:0051969,GO:0060078,GO:0060079,GO:0060084,GO:0095500,GO:0097060,GO:0098691,GO:0098878,GO:0098981,GO:0099171,GO:0099634,GO:1901363,GO:1904315,GO:1904456,GO:1905144
11447	GO:0003009,GO:0004888,GO:0005216,GO:0005230,GO:0005515,GO:0005886,GO:0005892,GO:0006811,GO:0006812,GO:0007268,GO:0007271,GO:0015276,GO:0015464,GO:0016020,GO:0022848,GO:0031594,GO:0034220,GO:0042166,GO:0042391,GO:0043005,GO:0045202,GO:0045211,GO:0048630,GO:0050881,GO:0051899,GO:0060078,GO:0060079,GO:0095500,GO:0099634,GO:1904315
11448	GO:0003009,GO:0004888,GO:0005216,GO:0005230,GO:0005231,GO:0005886,GO:0005892,GO:0006811,GO:0006812,GO:0007268,GO:0007271,GO:0015464,GO:0016020,GO:0022848,GO:0031594,GO:0034220,GO:0042391,GO:0043005,GO:0045202,GO:0045211,GO:0051899,GO:0060078,GO:0060079,GO:0095500,GO:0099634,GO:1904315
11449	GO:0003009,GO:0004888,GO:0005216,GO:0005230,GO:0005515,GO:0005886,GO:0005892,GO:0006811,GO:0006812,GO:0007268,GO:0007271,GO:0015276,GO:0015464,GO:0016020,GO:0022848,GO:0034220,GO:0042391,GO:0043005,GO:0045202,GO:0045211,GO:0051899,GO:0060078,GO:0060079,GO:0095500,GO:1904315
11450	GO:0005102,GO:0005179,GO:0005201,GO:0005515,GO:0005576,GO:0005581,GO:0005615,GO:0005783,GO:0006006,GO:0006635,GO:0009617,GO:0009749,GO:0009967,GO:0009986,GO:0010467,GO:0010642,GO:0010745,GO:0010804,GO:0010875,GO:0010906,GO:0019395,GO:0030336,GO:0030853,GO:0032720,GO:0032757,GO:0032869,GO:0032991,GO:0033034,GO:0033211,GO:0033691,GO:0034115,GO:0034383,GO:0034612,GO:0038002,GO:0042593,GO:0042802,GO:0042803,GO:0043123,GO:0043124,GO:0043407,GO:0043539,GO:0045599,GO:0045650,GO:0045721,GO:0045776,GO:0045892,GO:0045923,GO:0046326,GO:0046888,GO:0048261,GO:0048471,GO:0050728,GO:0050765,GO:0050805,GO:0050873,GO:0060621,GO:0070373,GO:0071320,GO:0071466,GO:0071639,GO:0071872,GO:0071944,GO:0072659,GO:0090317,GO:0120162,GO:0120163,GO:0141163,GO:1904706,GO:1904753,GO:2000279,GO:2000467,GO:2000534,GO:2000584,GO:2000590
