GeneID,GO_ID
11416,GO:0035348
11416,GO:0042803
11418,GO:0003026
11418,GO:0005216
11418,GO:0005261
11418,GO:0005272
11418,GO:0005515
11418,GO:0005886
11418,GO:0006811
11418,GO:0006812
11418,GO:0006814
11418,GO:0007602
11418,GO:0007605
11418,GO:0009612
11418,GO:0010447
11418,GO:0015280
11418,GO:0016020
11418,GO:0019229
11418,GO:0022839
11418,GO:0034220
11418,GO:0034765
11418,GO:0035418
11418,GO:0035725
11418,GO:0042391
11418,GO:0043005
11418,GO:0043025
11418,GO:0043066
11418,GO:0043197
11418,GO:0045202
11418,GO:0050915
11418,GO:0050974
11418,GO:0051649
11418,GO:0051965
11418,GO:0071466
11418,GO:0071468
11418,GO:0098839
11418,GO:0150052
11418,GO:0160125
11419,GO:0001662
11419,GO:0001975
11419,GO:0005216
11419,GO:0005261
11419,GO:0005272
11419,GO:0005515
11419,GO:0005794
11419,GO:0005886
11419,GO:0006811
11419,GO:0006812
11419,GO:0006814
11419,GO:0006816
11419,GO:0007269
11419,GO:0007613
11419,GO:0008306
11419,GO:0009986
11419,GO:0010447
11419,GO:0015280
11419,GO:0016020
11419,GO:0022839
11419,GO:0022890
11419,GO:0030425
11419,GO:0034220
11419,GO:0035725
11419,GO:0042391
11419,GO:0042995
11419,GO:0043197
11419,GO:0043198
11419,GO:0045202
11419,GO:0045211
11419,GO:0046929
11419,GO:0050915
11419,GO:0051649
11419,GO:0070588
11419,GO:0071467
11419,GO:0098655
11419,GO:0098662
11419,GO:0098793
11419,GO:0098839
11419,GO:0098978
11419,GO:0150052
11419,GO:0160128
11421,GO:0001822
11421,GO:0002003
11421,GO:0002034
11421,GO:0002446
11421,GO:0003081
11421,GO:0003084
11421,GO:0003779
11421,GO:0004175
11421,GO:0004180
11421,GO:0004181
11421,GO:0004222
11421,GO:0005515
11421,GO:0005516
11421,GO:0005576
11421,GO:0005615
11421,GO:0005737
11421,GO:0005764
11421,GO:0005768
11421,GO:0005886
11421,GO:0006508
11421,GO:0006518
11421,GO:0007283
11421,GO:0008217
11421,GO:0008233
11421,GO:0008237
11421,GO:0008238
11421,GO:0008240
11421,GO:0008241
11421,GO:0008270
11421,GO:0008584
11421,GO:0009792
11421,GO:0009897
11421,GO:0009925
11421,GO:0010608
11421,GO:0010629
11421,GO:0010814
11421,GO:0010815
11421,GO:0014910
11421,GO:0016020
11421,GO:0016787
11421,GO:0031100
11421,GO:0031404
11421,GO:0031434
11421,GO:0031526
11421,GO:0031711
11421,GO:0031982
11421,GO:0032496
11421,GO:0038166
11421,GO:0042310
11421,GO:0042311
11421,GO:0042445
11421,GO:0042447
11421,GO:0042755
11421,GO:0043065
11421,GO:0043171
11421,GO:0045777
11421,GO:0045907
11421,GO:0046325
11421,GO:0046872
11421,GO:0048167
11421,GO:0048286
11421,GO:0050435
11421,GO:0050482
11421,GO:0050769
11421,GO:0051019
11421,GO:0060047
11421,GO:0060177
11421,GO:0060978
11421,GO:0070062
11421,GO:0070573
11421,GO:0071838
11421,GO:0086091
11421,GO:0090281
11421,GO:0097225
11421,GO:1901363
11421,GO:1902033
11421,GO:1903522
11421,GO:1903597
11423,GO:0001919
11423,GO:0002076
11423,GO:0003990
11423,GO:0004104
11423,GO:0005515
11423,GO:0005518
11423,GO:0005576
11423,GO:0005604
11423,GO:0005615
11423,GO:0005635
11423,GO:0005788
11423,GO:0005794
11423,GO:0005886
11423,GO:0006581
11423,GO:0007155
11423,GO:0007416
11423,GO:0008291
11423,GO:0009986
11423,GO:0016020
11423,GO:0016787
11423,GO:0017171
11423,GO:0019695
11423,GO:0030424
11423,GO:0030425
11423,GO:0031594
11423,GO:0031623
11423,GO:0032868
11423,GO:0042166
11423,GO:0042734
11423,GO:0042802
11423,GO:0042803
11423,GO:0043025
11423,GO:0043083
11423,GO:0043236
11423,GO:0045121
11423,GO:0045202
11423,GO:0045211
11423,GO:0048471
11423,GO:0050772
11423,GO:0050775
11423,GO:0052689
11423,GO:0060041
11423,GO:0095500
11423,GO:0098552
11423,GO:0120162
11425,GO:0005576
11425,GO:0006869
11425,GO:0019915
11425,GO:0034361
11425,GO:0034364
11425,GO:0070328
11426,GO:0001707
11426,GO:0003779
11426,GO:0005198
11426,GO:0005509
11426,GO:0005515
11426,GO:0005737
11426,GO:0005794
11426,GO:0005856
11426,GO:0005874
11426,GO:0005882
11426,GO:0005886
11426,GO:0005938
11426,GO:0006620
11426,GO:0007163
11426,GO:0008017
11426,GO:0008104
11426,GO:0010632
11426,GO:0014069
11426,GO:0015629
11426,GO:0015630
11426,GO:0016020
11426,GO:0016055
11426,GO:0016477
11426,GO:0016887
11426,GO:0022603
11426,GO:0030177
11426,GO:0030334
11426,GO:0031344
11426,GO:0032587
11426,GO:0032886
11426,GO:0042060
11426,GO:0042995
11426,GO:0043001
11426,GO:0045104
11426,GO:0045773
11426,GO:0046872
11426,GO:0051011
11426,GO:0051015
11426,GO:0051239
11426,GO:0051893
11426,GO:0150011
11428,GO:0000900
11428,GO:0003723
11428,GO:0003994
11428,GO:0005737
11428,GO:0005739
11428,GO:0005783
11428,GO:0005794
11428,GO:0005829
11428,GO:0006099
11428,GO:0006101
11428,GO:0006417
11428,GO:0006740
11428,GO:0006879
11428,GO:0009791
11428,GO:0010040
11428,GO:0010468
11428,GO:0016829
11428,GO:0030350
11428,GO:0046872
11428,GO:0048027
11428,GO:0050892
11428,GO:0051536
11428,GO:0051538
11428,GO:0051539
11429,GO:0003994
11429,GO:0005506
11429,GO:0005739
11429,GO:0005759
11429,GO:0005829
11429,GO:0006099
11429,GO:0006101
11429,GO:0006102
11429,GO:0016829
11429,GO:0043209
11429,GO:0046872
11429,GO:0051536
11429,GO:0051538
11429,GO:0051539
11430,GO:0000038
11430,GO:0003997
11430,GO:0005504
11430,GO:0005737
11430,GO:0005739
11430,GO:0005777
11430,GO:0005778
11430,GO:0005782
11430,GO:0005829
11430,GO:0006091
11430,GO:0006629
11430,GO:0006631
11430,GO:0006635
11430,GO:0006636
11430,GO:0006693
11430,GO:0007283
11430,GO:0009062
11430,GO:0016491
11430,GO:0016559
11430,GO:0016627
11430,GO:0019395
11430,GO:0030165
11430,GO:0033540
11430,GO:0036109
11430,GO:0042632
11430,GO:0042759
11430,GO:0042803
11430,GO:0050660
11430,GO:0050665
11430,GO:0055088
11430,GO:0071949
11430,GO:0120524
11430,GO:0140493
11430,GO:1901570
11431,GO:0003993
11431,GO:0004721
11431,GO:0004725
11431,GO:0004726
11431,GO:0005737
11431,GO:0005829
11431,GO:0009898
11431,GO:0016787
11431,GO:0016791
11431,GO:0017124
11431,GO:0042383
11432,GO:0001501
11432,GO:0001784
11432,GO:0003993
11432,GO:0004721
11432,GO:0005764
11432,GO:0005765
11432,GO:0007040
11432,GO:0016020
11432,GO:0016787
11432,GO:0016791
11432,GO:0043202
11432,GO:0048102
11432,GO:0070305
11433,GO:0003993
11433,GO:0005615
11433,GO:0005764
11433,GO:0007162
11433,GO:0008198
11433,GO:0008199
11433,GO:0010936
11433,GO:0016787
11433,GO:0030335
11433,GO:0032496
11433,GO:0032691
11433,GO:0032695
11433,GO:0032720
